Name,Pop,Popdensity,Children,Youth,WorkingAge,Pre-retirement,Seniors,OlderSeniors
City of Toronto,2731571,4334,398135,340270,1229555,336670,426945,66000
Agincourt North,29113,3929,3840,3705,11305,4230,6045,925
Agincourt South-Malvern West,23757,3034,3075,3360,9965,3265,4105,555
Alderwood,12054,2435,1760,1235,5220,1825,2015,320
Annex,30526,10863,2360,3750,15040,3480,5910,1040
Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,1640
Bathurst Manor,15873,3377,2325,1940,6655,2030,2940,710
Bay Street Corridor,25797,14097,1695,6860,13065,1760,2420,330
Bayview Village,21396,4195,2415,2505,10310,2540,3615,610
Bayview Woods-Steeles,13154,3240,1515,1635,4490,1825,3685,740
Bedford Park-Nortown,23236,4209,4555,3210,8410,3075,3980,660
Beechborough-Greenbrook,6577,3614,1120,855,2750,885,965,145
Bendale,29960,4011,4550,4605,12050,3535,5250,900
Birchcliffe-Cliffside,22291,3765,3345,2440,9075,3520,3910,630
Black Creek,21737,6282,4600,3290,8525,2425,2870,370
Blake-Jones,7727,8134,1405,885,3605,940,895,115
Briar Hill-Belgravia,14257,7791,1855,1655,6740,1925,2100,310
Bridle Path-Sunnybrook-York Mills,9266,1040,1435,1425,3090,1525,1785,245
Broadview North,11499,6764,1470,1040,5680,1435,1865,255
Brookhaven-Amesbury,17757,5045,3360,2460,7625,2185,2130,285
Cabbagetown-South St. James Town,11669,8335,800,1035,5855,1715,2250,305
Caledonia-Fairbank,9955,6464,1490,1220,4570,1350,1325,165
Casa Loma,10968,5683,1200,1080,4555,1465,2675,395
Centennial Scarborough,13362,2479,2150,1850,5030,1955,2385,160
Church-Yonge Corridor,31340,23044,1260,5060,18780,3235,3010,250
Clairlea-Birchmount,26984,3632,4565,3495,11940,3360,3630,660
Clanton Park,16472,3979,2765,1910,7470,1935,2375,400
Cliffcrest,15935,2273,2575,2145,6070,2445,2695,370
Corso Italia-Davenport,14133,7478,1910,1545,6930,1740,2015,300
Danforth,9666,8554,1675,920,4370,1195,1515,195
Danforth East York,17180,7881,3020,1450,7930,2135,2655,365
Don Valley Village,27051,6441,4065,3280,11860,3145,4700,665
Dorset Park,25003,4146,4250,3155,10485,3330,3780,790
Dovercourt-Wallace Emerson-Junction,36625,9819,4480,3925,19790,3935,4515,595
Downsview-Roding-CFB,35052,2337,5725,4340,15045,4380,5535,870
Dufferin Grove,11785,8540,1285,1065,6680,1235,1515,175
East End-Danforth,21381,8038,3735,2210,9990,2805,2650,310
Edenbridge-Humber Valley,15535,2840,2120,1805,5940,2385,3290,665
Eglinton East,22776,7051,4180,3130,9180,2825,3505,560
Elms-Old Rexdale,9456,3306,1805,1440,3700,1255,1275,145
Englemount-Lawrence,22372,6466,4805,3030,8385,2430,3725,955
Eringate-Centennial-West Deane,18588,2171,2635,2405,6910,2855,3765,565
Etobicoke West Mall,11848,6582,1695,1460,5025,1600,2060,505
Flemingdon Park,21933,9026,4385,3060,9185,2335,2980,285
Forest Hill North,12806,8054,2060,1500,5390,1725,2135,350
Forest Hill South,10732,4380,1365,1355,4235,1530,2260,325
Glenfield-Jane Heights,30491,5864,5790,4520,11590,3605,5005,700
Greenwood-Coxwell,14417,8582,2460,1305,7240,1765,1640,200
Guildwood,9917,2673,1295,1065,3370,1555,2635,540
Henry Farm,15723,6047,2505,2330,8045,1390,1460,135
High Park North,22162,11726,2850,1890,11660,2585,3180,550
High Park-Swansea,23925,4893,3540,2125,11570,2870,3800,755
Highland Creek,12494,2403,1545,1925,4620,2020,2395,190
Hillcrest Village,16934,3148,2115,2170,6060,2265,4305,630
Humber Heights-Westmount,10948,3981,1450,1140,3790,1510,3045,950
Humber Summit,12416,1570,2155,1720,4855,1315,2380,260
Humbermede,15545,3565,2945,2225,6445,1760,2160,260
Humewood-Cedarvale,14365,7682,2165,1610,7005,1650,1940,280
Ionview,13641,7031,2310,1645,6050,1720,1890,245
Islington-City Centre West,43965,2712,5820,4695,20640,5400,7405,1480
Junction Area,14366,5442,2190,1465,7470,1750,1500,175
Keelesdale-Eglinton West,11058,6467,1610,1430,4790,1435,1785,230
Kennedy Park,17123,4770,2775,2175,7120,2510,2550,330
Kensington-Chinatown,17945,11806,1315,3350,8760,1795,2705,480
Kingsview Village-The Westway,22000,4356,4240,3020,8635,2550,3585,575
Kingsway South,9271,3593,1580,1100,3245,1345,1995,325
Lambton Baby Point,7985,4697,1695,905,3310,1050,1025,140
L'Amoreaux,43993,6144,6120,5730,17210,5930,8990,1345
Lansing-Westgate,16164,3038,2420,2105,7590,1910,2160,360
Lawrence Park North,14607,6407,3280,1670,5980,1725,1935,265
Lawrence Park South,15179,4685,2845,2095,5870,2115,2235,315
Leaside-Bennington,16828,3596,3285,2175,6455,2340,2550,400
Little Portugal,15559,12859,1400,1605,9385,1325,1855,255
Long Branch,10084,4584,1335,1130,4705,1520,1405,140
Malvern,43794,4948,7910,6620,17865,5535,5890,445
Maple Leaf,10111,4012,1500,1265,4110,1205,2030,380
Markland Wood,10554,3614,1340,1165,3600,1735,2705,535
Milliken,26572,2830,3675,3195,10565,4030,5115,880
Mimico (includes Humber Bay Shores),33964,4915,3505,3010,17695,4620,5160,565
Morningside,17455,3041,2880,2690,6840,2355,2695,355
Moss Park,20506,14753,1540,2060,12530,2495,1900,140
Mount Dennis,13593,6442,2395,1815,5930,1760,1685,265
Mount Olive-Silverstone-Jamestown,32954,7291,7090,5240,13615,3475,3560,300
Mount Pleasant East,16775,5411,2980,1705,7620,2020,2455,260
Mount Pleasant West,29658,21969,2380,2520,17100,3030,4605,940
New Toronto,11463,3342,1610,1390,5215,1580,1525,140
Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,670
Newtonbrook West,23831,5070,2810,3325,10410,3110,4165,685
Niagara,31180,10156,2055,2415,23320,1885,1510,95
North Riverdale,11916,6770,1960,1170,5490,1645,1660,140
North St. James Town,18615,44321,2290,2265,10350,1970,1740,220
Oakridge,13845,7444,2865,1680,6050,1595,1655,255
Oakwood Village,21210,9511,3130,2275,9535,2590,3700,540
O'Connor-Parkview,18675,3780,3110,2385,7855,2650,2690,430
Old East York,9233,3997,1470,915,4035,1280,1520,230
Palmerston-Little Italy,13826,9601,1280,1465,7845,1260,1960,290
Parkwoods-Donalda,34805,4691,5840,4680,14780,4265,5250,775
Pelmo Park-Humberlea,10722,2547,1745,1370,4645,1390,1590,205
Playter Estates-Danforth,7804,8671,1150,735,3725,970,1220,195
Pleasant View,15818,5273,2050,2080,6470,2020,3195,355
Princess-Rosethorn,11051,2138,1770,1580,3825,1855,2025,325
Regent Park,10803,16880,1635,1775,5575,1100,730,50
Rexdale-Kipling,10529,4229,1640,1355,4300,1520,1730,300
Rockcliffe-Smythe,22246,4414,3505,2740,9255,3090,3655,480
Roncesvalles,14974,9851,2300,1305,7990,1690,1680,185
Rosedale-Moore Park,20923,4500,2625,2185,7925,3030,5140,750
Rouge,46496,1260,7960,6700,18510,6690,6625,685
Runnymede-Bloor West Village,10070,6333,2050,960,4605,1215,1245,195
Rustic,9941,4734,1940,1405,3615,1115,1865,365
Scarborough Village,16724,5395,3365,2360,6685,2095,2225,430
South Parkdale,21849,9583,2115,2275,12440,2475,2540,360
South Riverdale,27876,3136,3975,2445,15025,3120,3330,520
St.Andrew-Windfields,17812,2430,2645,2540,6800,2625,3235,410
Steeles,24623,5436,3150,2685,9500,3515,5755,955
Stonegate-Queensway,25051,3199,4060,2495,10660,3660,4165,750
Tam O'Shanter-Sullivan,27446,5073,3885,3225,10675,3510,6160,1220
Taylor-Massey,15683,15528,2950,1690,7580,1750,1705,270
The Beaches,21567,6058,3825,2075,9590,3140,2955,265
Thistletown-Beaumond Heights,10360,3130,1730,1410,4160,1195,1880,350
Thorncliffe Park,21108,6787,5600,2455,9020,1665,2365,425
Trinity-Bellwoods,16556,9570,1745,1630,9210,1625,2350,330
University,7607,5395,565,1485,3590,650,1320,305
Victoria Village,17510,3710,2630,2030,7170,2270,3405,570
Waterfront Communities-The Island,65913,8943,3650,7840,45105,4680,4635,365
West Hill,27392,2856,4635,3950,10765,3785,4240,625
West Humber-Clairville,33312,1117,5060,5445,13845,3990,4980,615
Westminster-Branson,26274,7339,3440,3355,10865,3500,5130,1000
Weston,17992,7197,3100,2225,7785,2430,2445,395
Weston-Pelham Park,11098,7601,1675,1415,5275,1415,1325,150
Wexford/Maryvale,27917,2724,4215,3650,11380,3940,4715,905
Willowdale East,50434,10087,5920,6940,25850,5460,6270,830
Willowdale West,16936,5820,1785,2230,7480,2070,3370,655
Willowridge-Martingrove-Richview,22156,4007,3555,2625,8140,2905,4905,885
Woburn,53485,4345,9625,7660,21945,6245,8010,1130
Woodbine Corridor,12541,7838,2325,1035,6165,1625,1380,170
Woodbine-Lumsden,7865,6722,1165,675,3790,1150,1095,125
Wychwood,14349,8541,1860,1320,6420,1595,3150,880
Yonge-Eglinton,11817,7162,1800,1225,5860,1325,1600,165
Yonge-St.Clair,12528,10708,1210,920,5960,1540,2905,470
York University Heights,27593,2086,4045,4750,12290,2965,3530,400
Yorkdale-Glen Park,14804,2451,1960,1870,5860,1810,3295,775